station_id,pref,station_name,temp,lat,lon
18171,北海道根室地方,中標津（ナカシベツ）,6.7,43.54333333333334,144.97833333333332
18174,北海道根室地方,根室中標津（ネムロナカシベツ）,7.5,43.57666666666667,144.96
18256,北海道根室地方,別海（ベツカイ）,6.9,43.38166666666667,145.11833333333334
18273,北海道根室地方,根室（ネムロ）,3.2,43.33,145.585
18281,北海道根室地方,納沙布（ノサップ）,2.9,43.39333333333333,145.75833333333333
18311,北海道根室地方,厚床（アットコ）,4.5,43.22,145.22666666666666
19021,北海道釧路地方,川湯（カワユ）,1.0,43.61666666666667,144.45666666666668
19051,北海道釧路地方,弟子屈（テシカガ）,1.2,43.51,144.46666666666667
19076,北海道釧路地方,阿寒湖畔（アカンコハン）,1.2,43.43666666666667,144.08333333333334
19151,北海道釧路地方,標茶（シベチャ）,4.3,43.291666666666664,144.58666666666667
19191,北海道釧路地方,鶴居（ツルイ）,7.0,43.23166666666667,144.325
19261,北海道釧路地方,中徹別（ナカテシベツ）,9.2,43.19833333333333,144.14166666666668
19311,北海道釧路地方,榊町（サカキマチ）,5.4,43.12,145.11
19347,北海道釧路地方,鶴丘（ツルオカ）,7.3,43.04,144.19166666666666
19376,北海道釧路地方,太田（オオタ）,4.4,43.09,144.77833333333334
19416,北海道釧路地方,白糠（シラヌカ）,7.4,42.97,144.06166666666667
19432,北海道釧路地方,釧路（クシロ）,8.0,42.985,144.37666666666667
19451,北海道釧路地方,知方学（チッポマナイ）,5.0,42.93833333333333,144.735
20146,北海道十勝地方,陸別（リクベツ）,4.1,43.471666666666664,143.75333333333333
20186,北海道十勝地方,ぬかびら源泉郷（ヌカビラゲンセンキョウ）,7.2,43.36666666666667,143.19166666666666
20266,北海道十勝地方,上士幌（カミシホロ）,7.6,43.24166666666667,143.295
20276,北海道十勝地方,足寄（アショロ）,7.8,43.24333333333333,143.55333333333334
20341,北海道十勝地方,本別（ホンベツ）,8.7,43.13166666666667,143.6
20356,北海道十勝地方,新得（シントク）,7.3,43.07666666666667,142.84
20361,北海道十勝地方,鹿追（シカオイ）,8.3,43.10333333333333,142.995
20371,北海道十勝地方,駒場（コマバ）,8.5,43.05,143.18333333333334
20421,北海道十勝地方,芽室（メムロ）,7.8,42.9,143.04333333333332
20432,北海道十勝地方,帯広（オビヒロ）,9.6,42.92166666666667,143.21166666666667
20432,北海道十勝地方,帯広（オビヒロ）,9.6,42.90833333333333,143.22333333333333
20441,北海道十勝地方,池田（イケダ）,9.7,42.92,143.45833333333334
20506,北海道十勝地方,浦幌（ウラホロ）,11.2,42.80833333333333,143.65666666666667
20551,北海道十勝地方,帯広泉（オビヒロイズミ）,5.7,42.733333333333334,143.21666666666667
20556,北海道十勝地方,糠内（ヌカナイ）,7.3,42.78666666666667,143.32833333333335
20601,北海道十勝地方,上札内（カミサツナイ）,4.4,42.641666666666666,143.09666666666666
20606,北海道十勝地方,更別（サラベツ）,5.6,42.651666666666664,143.195
20631,北海道十勝地方,大津（オオツ）,8.6,42.68666666666667,143.64666666666668
20696,北海道十勝地方,大樹（タイキ）,4.6,42.5,143.27333333333334
20751,北海道十勝地方,広尾（ヒロオ）,5.5,42.29333333333334,143.31666666666666
21111,北海道胆振地方,厚真（アツマ）,7.7,42.73,141.88833333333332
21126,北海道胆振地方,穂別（ホベツ）,10.5,42.76166666666667,142.14333333333335
21161,北海道胆振地方,大滝（オオタキ）,5.7,42.67,141.07833333333335
21171,北海道胆振地方,森野（モリノ）,8.3,42.63,141.24666666666667
21187,北海道胆振地方,苫小牧（トマコマイ）,9.9,42.623333333333335,141.54666666666665
21226,北海道胆振地方,大岸（オオキシ）,9.8,42.59,140.64333333333335
21261,北海道胆振地方,白老（シラオイ）,6.3,42.54333333333334,141.35166666666666
21276,北海道胆振地方,鵡川（ムカワ）,8.1,42.59,141.93333333333334
21297,北海道胆振地方,伊達（ダテ）,10.2,42.475,140.84833333333333
21312,北海道胆振地方,登別（ノボリベツ）,8.5,42.458333333333336,141.11833333333334
21323,北海道胆振地方,室蘭（ムロラン）,9.7,42.31166666666667,140.975
22036,北海道日高地方,日高（ヒダカ）,8.7,42.876666666666665,142.44166666666666
22141,北海道日高地方,日高門別（ヒダカモンベツ）,9.4,42.49666666666667,142.05333333333334
22156,北海道日高地方,新和（シンワ）,12.3,42.54333333333334,142.33333333333334
22241,北海道日高地方,静内（シズナイ）,10.7,42.343333333333334,142.36166666666668
22291,北海道日高地方,三石（ミツイシ）,8.8,42.245,142.66166666666666
22306,北海道日高地方,中杵臼（ナカキネウス）,10.7,42.223333333333336,142.94833333333332
22327,北海道日高地方,浦河（ウラカワ）,6.5,42.16166666666667,142.77666666666667
22391,北海道日高地方,えりも岬（エリモミサキ）,4.5,41.925,143.24333333333334
23031,北海道渡島地方,長万部（オシャマンベ）,7.8,42.516666666666666,140.37333333333333
23086,北海道渡島地方,八雲（ヤクモ）,10.9,42.251666666666665,140.27166666666668
23166,北海道渡島地方,森（モリ）,9.0,42.06666666666667,140.58833333333334
23206,北海道渡島地方,川汲（カックミ）,7.2,41.906666666666666,140.97
23226,北海道渡島地方,北斗（ホクト）,10.8,41.88666666666667,140.65333333333334
23232,北海道渡島地方,函館（ハコダテ）,11.2,41.81666666666667,140.75333333333333
23281,北海道渡島地方,高松（タカマツ）,8.9,41.77,140.82166666666666
23326,北海道渡島地方,木古内（キコナイ）,11.9,41.68,140.43666666666667
23376,北海道渡島地方,松前（マツマエ）,10.6,41.42333333333333,140.08666666666667
24141,北海道渡島地方,熊石（クマイシ）,10.6,42.12833333333333,139.985
24041,北海道檜山地方,せたな（セタナ）,7.6,42.45,139.85166666666666
24051,北海道檜山地方,今金（イマカネ）,9.3,42.428333333333335,140.00833333333333
24101,北海道檜山地方,奥尻（オクシリ）,7.0,42.248333333333335,139.55666666666667
24156,北海道檜山地方,米岡（ヨネオカ）,7.8,42.071666666666665,139.43166666666667
24201,北海道檜山地方,鶉（ウズラ）,9.7,41.93,140.31166666666667
24217,北海道檜山地方,江差（エサシ）,8.5,41.86666666666667,140.12333333333333
31001,青森県,大間（オオマ）,10.4,41.526666666666664,140.91166666666666
31111,青森県,むつ（ムツ）,10.9,41.28333333333333,141.21
31121,青森県,小田野沢（オダノサワ）,11.4,41.235,141.39666666666668
31136,青森県,今別（イマベツ）,10.3,41.18,140.48166666666665
31156,青森県,脇野沢（ワキノサワ）,10.6,41.145,140.82166666666666
31186,青森県,市浦（シウラ）,9.7,41.056666666666665,140.34666666666666
31201,青森県,蟹田（カニタ）,9.6,41.045,140.63333333333333
31296,青森県,五所川原（ゴショガワラ）,8.6,40.80833333333333,140.45833333333334
31312,青森県,青森（アオモリ）,9.8,40.821666666666665,140.76833333333335
31332,青森県,野辺地（ノヘジ）,9.8,40.885,141.16
31336,青森県,六ケ所（ロッカショ）,9.2,40.885,141.27166666666668
31366,青森県,鰺ケ沢（アジガサワ）,8.6,40.776666666666664,140.205
31386,青森県,青森大谷（アオモリオオタニ）,6.6,40.733333333333334,140.68833333333333
